task_id,annotation_id,annotator_id,lead_time_seconds,active_time_value,active_time_source,active_time_source_file,active_time_match_status,active_time_session_count,active_time_event_count
460,88,1,406.636,406.636,lead_time_fallback,,fallback_no_direct_log,0,0
466,89,1,19.798,19.798,lead_time_fallback,active_times_2026-01-16.jsonl;active_times_2026-02-24.jsonl,fallback_log_present_but_no_direct_match,2,5
467,90,1,32.071,32.071,lead_time_fallback,active_times_2025-12-20.jsonl,fallback_log_present_but_no_direct_match,1,5
468,91,1,20.771,20.771,lead_time_fallback,,fallback_no_direct_log,0,0
469,92,1,31.83,31.83,lead_time_fallback,,fallback_no_direct_log,0,0
470,93,1,67.056,67.056,lead_time_fallback,,fallback_no_direct_log,0,0
471,94,1,28.857,28.857,lead_time_fallback,,fallback_no_direct_log,0,0
472,95,1,69.718,69.718,lead_time_fallback,,fallback_no_direct_log,0,0
473,96,1,313.4,313.4,lead_time_fallback,,fallback_no_direct_log,0,0
474,40,3,1124.848,150.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
474,75,4,33.315,37.0,log,active_times_2026-01-16.jsonl,task+annotator,2,5
475,41,3,82.489,37.0,log,active_times_2026-01-16.jsonl,task+annotator,1,2
475,76,4,59.473,92.0,log,active_times_2026-01-16.jsonl,task+annotator,1,8
476,42,3,155.877,56.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
476,77,4,259.336,95.0,log,active_times_2026-01-16.jsonl,task+annotator,1,11
477,32,2,128.211,464.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-17.jsonl;active_times_2026-01-19.jsonl;active_times_2026-01-20.jsonl;active_times_2026-02-09.jsonl,task+annotator,6,13
477,43,3,105.164,54.0,log,active_times_2026-01-16.jsonl,task+annotator,2,21
477,78,4,28.059,19.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
478,97,1,10.116,10.116,lead_time_fallback,active_times_2026-01-16.jsonl,fallback_log_present_but_no_direct_match,1,1
479,33,2,3.13,754.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-17.jsonl;active_times_2026-02-08.jsonl,task+annotator,4,142
479,44,3,15.603,68.0,log,active_times_2026-01-16.jsonl,task+annotator,2,19
479,79,4,49.299,37.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
480,34,2,11.456,42.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-17.jsonl,task+annotator,3,8
480,45,3,159.591,94.0,log,active_times_2026-01-16.jsonl,task+annotator,2,4
480,80,4,29.846,18.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
481,98,1,17.797,17.797,lead_time_fallback,,fallback_no_direct_log,0,0
482,99,1,24.687,24.687,lead_time_fallback,,fallback_no_direct_log,0,0
483,100,1,64.527,64.527,lead_time_fallback,,fallback_no_direct_log,0,0
484,101,1,12.948,12.948,lead_time_fallback,,fallback_no_direct_log,0,0
485,102,1,10.008,10.008,lead_time_fallback,active_times_2026-02-19.jsonl;active_times_2026-02-20.jsonl,fallback_log_present_but_no_direct_match,1,60
486,103,1,7.577,7.577,lead_time_fallback,,fallback_no_direct_log,0,0
487,104,1,11.336,11.336,lead_time_fallback,,fallback_no_direct_log,0,0
488,105,1,11.28,11.28,lead_time_fallback,,fallback_no_direct_log,0,0
489,106,1,9.895,9.895,lead_time_fallback,,fallback_no_direct_log,0,0
490,107,1,6.858,6.858,lead_time_fallback,active_times_2026-01-16.jsonl,fallback_log_present_but_no_direct_match,1,1
491,35,2,135.21,43.0,log,active_times_2026-01-16.jsonl,task+annotator,1,10
491,46,3,232.393,58.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
491,81,4,14.45,12.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
492,36,2,7.111,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
492,47,3,81.968,45.0,log,active_times_2026-01-16.jsonl,task+annotator,1,12
492,82,4,12.812,26.0,log,active_times_2026-01-16.jsonl,task+annotator,1,7
493,37,2,78.599,117.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-20.jsonl,task+annotator,2,7
493,48,3,121.734,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
494,38,2,2.935,42.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
494,49,3,43.722,9.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
495,39,2,28.64,34.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
495,50,3,137.647,19.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
496,51,3,90.995,22.0,log,active_times_2026-01-16.jsonl,task+annotator,1,2
496,63,2,79.711,35.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
497,52,3,30.048,10.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
497,64,2,33.729,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
498,53,3,76.731,43.0,log,active_times_2026-01-16.jsonl,task+annotator,1,10
498,65,2,56.963,62.0,log,active_times_2026-01-16.jsonl,task+annotator,1,8
498,87,4,44.225,30.0,log,active_times_2026-01-16.jsonl,task+annotator,1,2
499,54,3,127.274,22.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
499,66,2,54.898,100.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-20.jsonl,task+annotator,2,6
499,83,4,34.669,24.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
500,55,3,61.912,16.0,log,active_times_2026-01-16.jsonl,task+annotator,1,7
500,67,2,56.536,46.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-20.jsonl,task+annotator,2,12
500,84,4,45.032,34.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
501,56,3,21.39,40.0,log,active_times_2026-01-16.jsonl,task+annotator,1,12
501,68,2,29.697,24.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-20.jsonl,task+annotator,2,3
501,85,4,53.904,33.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
502,57,3,13.989,60.0,log,active_times_2026-01-16.jsonl,task+annotator,1,11
502,69,2,33.203,8.0,log,active_times_2026-01-16.jsonl,task+annotator,1,2
502,86,4,32.579,47.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
503,58,3,284.11,18.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
503,70,2,55.538,2.0,log,active_times_2026-01-16.jsonl,task+annotator,1,1
504,59,3,19.308,62.0,log,active_times_2026-01-16.jsonl,task+annotator,1,12
504,71,2,43.084,44.0,log,active_times_2026-01-16.jsonl,task+annotator,1,3
505,60,3,216.681,49.0,log,active_times_2026-01-16.jsonl,task+annotator,1,12
505,72,2,32.094,679.0,log,active_times_2026-01-16.jsonl;active_times_2026-01-20.jsonl;active_times_2026-01-30.jsonl,task+annotator,4,152
506,61,3,41.337,22.0,log,active_times_2026-01-16.jsonl,task+annotator,1,9
506,73,2,21.399,22.0,log,active_times_2026-01-16.jsonl,task+annotator,1,4
507,108,1,10.314,10.314,lead_time_fallback,,fallback_no_direct_log,0,0
508,62,3,3.696,41.0,log,active_times_2026-01-16.jsonl,task+annotator,1,10
508,74,2,15.23,87.0,log,active_times_2026-01-16.jsonl,task+annotator,1,5
509,109,1,18.986,18.986,lead_time_fallback,,fallback_no_direct_log,0,0
510,110,1,19.698,19.698,lead_time_fallback,,fallback_no_direct_log,0,0
511,111,1,17.041,17.041,lead_time_fallback,,fallback_no_direct_log,0,0
512,112,1,16.725,16.725,lead_time_fallback,,fallback_no_direct_log,0,0
513,113,1,16.579,16.579,lead_time_fallback,,fallback_no_direct_log,0,0
514,114,1,19.357,19.357,lead_time_fallback,,fallback_no_direct_log,0,0
515,115,1,18.465,18.465,lead_time_fallback,,fallback_no_direct_log,0,0
516,116,1,16.945,16.945,lead_time_fallback,,fallback_no_direct_log,0,0
517,117,1,39.167,39.167,lead_time_fallback,,fallback_no_direct_log,0,0
518,118,1,30.854,30.854,lead_time_fallback,,fallback_no_direct_log,0,0
519,119,1,25.462,25.462,lead_time_fallback,,fallback_no_direct_log,0,0
520,120,1,23.21,23.21,lead_time_fallback,,fallback_no_direct_log,0,0
521,121,1,20.128,20.128,lead_time_fallback,,fallback_no_direct_log,0,0
522,122,1,40.223,40.223,lead_time_fallback,,fallback_no_direct_log,0,0
523,123,1,55.271,55.271,lead_time_fallback,,fallback_no_direct_log,0,0
524,124,1,20.684,20.684,lead_time_fallback,,fallback_no_direct_log,0,0
525,125,1,31.691,31.691,lead_time_fallback,,fallback_no_direct_log,0,0
526,126,1,21.881,21.881,lead_time_fallback,,fallback_no_direct_log,0,0
527,127,1,23.759,23.759,lead_time_fallback,,fallback_no_direct_log,0,0
528,128,1,38.981,38.981,lead_time_fallback,,fallback_no_direct_log,0,0
529,129,1,38.725,38.725,lead_time_fallback,,fallback_no_direct_log,0,0
530,130,1,27.13,27.13,lead_time_fallback,,fallback_no_direct_log,0,0
531,131,1,91.638,91.638,lead_time_fallback,,fallback_no_direct_log,0,0
532,132,1,21.892,21.892,lead_time_fallback,,fallback_no_direct_log,0,0
533,133,1,53.293,53.293,lead_time_fallback,,fallback_no_direct_log,0,0
534,134,1,29.369,29.369,lead_time_fallback,,fallback_no_direct_log,0,0
535,135,1,26.614,26.614,lead_time_fallback,,fallback_no_direct_log,0,0
536,136,1,23.515,23.515,lead_time_fallback,,fallback_no_direct_log,0,0
537,137,1,18.672,18.672,lead_time_fallback,,fallback_no_direct_log,0,0
538,138,1,15.449,15.449,lead_time_fallback,,fallback_no_direct_log,0,0
539,139,1,7.619,7.619,lead_time_fallback,,fallback_no_direct_log,0,0
540,140,1,17.151,17.151,lead_time_fallback,,fallback_no_direct_log,0,0
541,141,1,19.514,19.514,lead_time_fallback,,fallback_no_direct_log,0,0
542,142,1,15.902,15.902,lead_time_fallback,,fallback_no_direct_log,0,0
543,143,1,24.601,24.601,lead_time_fallback,,fallback_no_direct_log,0,0
544,144,1,8.812,8.812,lead_time_fallback,,fallback_no_direct_log,0,0
545,145,1,6.442,6.442,lead_time_fallback,,fallback_no_direct_log,0,0
546,146,1,7.748,7.748,lead_time_fallback,,fallback_no_direct_log,0,0
547,147,1,27.121,27.121,lead_time_fallback,,fallback_no_direct_log,0,0
548,148,1,22.678,22.678,lead_time_fallback,,fallback_no_direct_log,0,0
549,149,1,14.695,14.695,lead_time_fallback,,fallback_no_direct_log,0,0
550,150,1,11.722,11.722,lead_time_fallback,,fallback_no_direct_log,0,0
551,151,1,5.162,5.162,lead_time_fallback,,fallback_no_direct_log,0,0
552,152,1,11.92,11.92,lead_time_fallback,,fallback_no_direct_log,0,0
553,153,1,10.147,10.147,lead_time_fallback,,fallback_no_direct_log,0,0
554,154,1,5.579,5.579,lead_time_fallback,,fallback_no_direct_log,0,0
555,155,1,7.004,7.004,lead_time_fallback,,fallback_no_direct_log,0,0
556,156,1,5.097,5.097,lead_time_fallback,,fallback_no_direct_log,0,0
557,157,1,18.658,18.658,lead_time_fallback,,fallback_no_direct_log,0,0
558,158,1,19.381,19.381,lead_time_fallback,,fallback_no_direct_log,0,0
561,159,1,11.424,11.424,lead_time_fallback,,fallback_no_direct_log,0,0
562,160,1,5.863,5.863,lead_time_fallback,,fallback_no_direct_log,0,0
563,161,1,3.724,3.724,lead_time_fallback,,fallback_no_direct_log,0,0
565,162,1,4.201,4.201,lead_time_fallback,,fallback_no_direct_log,0,0
567,163,1,8.704,8.704,lead_time_fallback,,fallback_no_direct_log,0,0
568,164,1,7.978,7.978,lead_time_fallback,,fallback_no_direct_log,0,0
569,165,1,6.587,6.587,lead_time_fallback,,fallback_no_direct_log,0,0
570,166,1,4.636,4.636,lead_time_fallback,,fallback_no_direct_log,0,0
571,167,1,3.931,3.931,lead_time_fallback,,fallback_no_direct_log,0,0
572,168,1,8.186,8.186,lead_time_fallback,,fallback_no_direct_log,0,0
573,169,1,5.865,5.865,lead_time_fallback,,fallback_no_direct_log,0,0
576,170,1,9.78,9.78,lead_time_fallback,,fallback_no_direct_log,0,0
578,171,1,9.443,9.443,lead_time_fallback,,fallback_no_direct_log,0,0
579,172,1,5.441,5.441,lead_time_fallback,,fallback_no_direct_log,0,0
581,173,1,6.481,6.481,lead_time_fallback,,fallback_no_direct_log,0,0
583,174,1,5.685,5.685,lead_time_fallback,,fallback_no_direct_log,0,0
584,175,1,10.002,10.002,lead_time_fallback,,fallback_no_direct_log,0,0
585,176,1,4.62,4.62,lead_time_fallback,,fallback_no_direct_log,0,0
586,177,1,5.124,5.124,lead_time_fallback,,fallback_no_direct_log,0,0
589,178,1,6.94,6.94,lead_time_fallback,,fallback_no_direct_log,0,0
590,179,1,9.241,9.241,lead_time_fallback,,fallback_no_direct_log,0,0
591,180,1,9.851,9.851,lead_time_fallback,,fallback_no_direct_log,0,0
592,181,1,6.839,6.839,lead_time_fallback,,fallback_no_direct_log,0,0
598,182,1,9.092,9.092,lead_time_fallback,,fallback_no_direct_log,0,0
599,183,1,12.353,12.353,lead_time_fallback,,fallback_no_direct_log,0,0
601,184,1,5.702,5.702,lead_time_fallback,,fallback_no_direct_log,0,0
602,185,1,16.85,16.85,lead_time_fallback,,fallback_no_direct_log,0,0
605,186,1,19.367,19.367,lead_time_fallback,,fallback_no_direct_log,0,0
606,187,1,18.668,18.668,lead_time_fallback,,fallback_no_direct_log,0,0
607,188,1,5.08,5.08,lead_time_fallback,,fallback_no_direct_log,0,0
608,189,1,4.615,4.615,lead_time_fallback,,fallback_no_direct_log,0,0
610,190,1,4.703,4.703,lead_time_fallback,,fallback_no_direct_log,0,0
612,191,1,5.986,5.986,lead_time_fallback,,fallback_no_direct_log,0,0
613,192,1,5.206,5.206,lead_time_fallback,,fallback_no_direct_log,0,0
615,193,1,5.077,5.077,lead_time_fallback,,fallback_no_direct_log,0,0
616,194,1,3.484,3.484,lead_time_fallback,,fallback_no_direct_log,0,0
617,195,1,2.771,2.771,lead_time_fallback,,fallback_no_direct_log,0,0
619,196,1,3.768,3.768,lead_time_fallback,,fallback_no_direct_log,0,0
622,197,1,13.569,13.569,lead_time_fallback,,fallback_no_direct_log,0,0
623,198,1,6.837,6.837,lead_time_fallback,,fallback_no_direct_log,0,0
624,199,1,7.109,7.109,lead_time_fallback,,fallback_no_direct_log,0,0
628,200,1,3.48,3.48,lead_time_fallback,,fallback_no_direct_log,0,0
629,201,1,3.096,3.096,lead_time_fallback,,fallback_no_direct_log,0,0
630,202,1,4.207,4.207,lead_time_fallback,,fallback_no_direct_log,0,0
631,203,1,4.304,4.304,lead_time_fallback,,fallback_no_direct_log,0,0
632,204,1,6.696,6.696,lead_time_fallback,,fallback_no_direct_log,0,0
633,205,1,2.981,2.981,lead_time_fallback,,fallback_no_direct_log,0,0
634,206,1,3.279,3.279,lead_time_fallback,,fallback_no_direct_log,0,0
636,207,1,3.485,3.485,lead_time_fallback,,fallback_no_direct_log,0,0
638,208,1,2.754,2.754,lead_time_fallback,,fallback_no_direct_log,0,0
640,209,1,3.556,3.556,lead_time_fallback,,fallback_no_direct_log,0,0
641,210,1,2.767,2.767,lead_time_fallback,,fallback_no_direct_log,0,0
643,211,1,7.746,7.746,lead_time_fallback,,fallback_no_direct_log,0,0
644,212,1,3.711,3.711,lead_time_fallback,,fallback_no_direct_log,0,0
645,213,1,9.718,9.718,lead_time_fallback,,fallback_no_direct_log,0,0
646,214,1,16.804,16.804,lead_time_fallback,,fallback_no_direct_log,0,0
653,215,1,8.568,8.568,lead_time_fallback,,fallback_no_direct_log,0,0
654,216,1,11.363,11.363,lead_time_fallback,,fallback_no_direct_log,0,0
655,217,1,8.162,8.162,lead_time_fallback,,fallback_no_direct_log,0,0
657,218,1,5.242,5.242,lead_time_fallback,,fallback_no_direct_log,0,0
658,219,1,5.518,5.518,lead_time_fallback,,fallback_no_direct_log,0,0
660,220,1,26.625,26.625,lead_time_fallback,,fallback_no_direct_log,0,0
